observation_id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user,created_at,updated_at,quality_grade,license,uri,medium_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town,place_county,place_state,place_country,place_admin1,place_admin2,species_guess,scientific_name,common_name,iconic_taxon,taxon_id,taxon_kingdom,taxon_phylum,taxon_subphylum,taxon_superclass,taxon_class,taxon_subclass,taxon_superorder,taxon_order,taxon_suborder,taxon_superfamily,taxon_family,taxon_subfamily,taxon_supertribe,taxon_tribe,taxon_subtribe,taxon_genus,taxon_genushybrid,taxon_species,taxon_hybrid,taxon_subspecies,taxon_variety,taxon_form,"field:id meant for ""eater"" or organism being eaten?","field:url for ""partner"" observation",field:is observation one of these special types of feeding?,photo_id,Image_name
64497720,026aa0c7-dab5-41bb-895a-1b5a712049fe,2020/02/22 2:20 PM CST,2020-02-22,2020-02-22 20:20:00 UTC,Central Time (US & Canada),9627,badger8181,Bryan Box,2020-11-09 03:56:18 UTC,2024-11-29 19:12:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/64497720,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/medium.jpg,,,,3,0,False,,"Island County, WA, USA",48.2842512159,-122.7282895911,3055.0,,,,3055.0,,,False,,,,Island,Washington,United States,Washington,Island,Alitta williami,Alitta williami,,Animalia,1115984,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,,,Alitta,,Alitta williami,,,,,organism being eaten,https://www.inaturalist.org/observations/39561580,"No, none of these",103704678,obs_64497720_photo_103704678
78431515,f05eeefd-5e01-4ac4-ac6d-24176b7c0470,2021-05-11 16:49:01,2021-05-11,2021-05-11 20:49:01 UTC,Eastern Time (US & Canada),1415405,don-jean,Don-Jean Leandri-Breton,2021-05-12 05:14:29 UTC,2025-02-27 15:48:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/78431515,https://static.inaturalist.org/photos/128226886/medium.jpeg,,,Several leeches feeding on a dead frog. ,1,0,False,,"2050 Jessheim, Norway",60.1563888889,11.1572222222,,,,,,,,False,,,,Akershus,Akershus,Norway,Akershus,Ullensaker,Horse Leech,Haemopis sanguisuga,Horse Leech,Animalia,468867,Animalia,Annelida,,,Clitellata,Hirudinea,,Arhynchobdellida,Hirudiniformes,,Haemopidae,,,,,Haemopis,,Haemopis sanguisuga,,,,,eater,,Scavenging,128226886,obs_78431515_photo_128226886
94545832,6da335ac-b7fc-4ca5-bb7f-9ab15790d8bf,Sat Sep 04 2021 11:41:28 GMT-0700 (PDT),2021-09-04,2021-09-04 18:41:28 UTC,Pacific Time (US & Canada),2571501,chalon9,Chalon Boesel,2021-09-12 07:40:37 UTC,2025-02-05 21:26:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/94545832,https://inaturalist-open-data.s3.amazonaws.com/photos/156850036/medium.jpg,,,Something being eaten by a sea otter.,2,0,False,,"Elkhorn Slough, Moss Landing, CA, US",36.8071383333,-121.7876966667,,,,,,,,False,,,,Monterey,California,United States,California,Monterey,Fat Innkeeper Worm,Urechis caupo,Fat Innkeeper Worm,Animalia,117583,Animalia,Annelida,,,Polychaeta,Echiura,,Echiuroidea,Echiurida,,Urechidae,,,,,Urechis,,Urechis caupo,,,,,thing being eaten,https://www.inaturalist.org/observations/94545153,,156850036,obs_94545832_photo_156850036
130480768,083f1160-004f-4e84-9a6b-11da61304442,2017/09/26 9:43 AM SAST,2017-09-26,2017-09-26 07:43:00 UTC,Pretoria,2572233,m_d,Mahomed Desai,2022-08-12 10:37:26 UTC,2025-03-15 11:17:53 UTC,research,CC-BY,https://www.inaturalist.org/observations/130480768,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,,,,1,0,False,,"Nomcondo, South Africa",-28.1184583333,32.18437,10.0,,,,10.0,,,False,,,,Hlabisa,KwaZulu-Natal,South Africa,KwaZulu-Natal,Umkhanyakude,Common African Leech,Hirudo michaelseni,Common African Leech,Animalia,669581,Animalia,Annelida,,,Clitellata,Hirudinea,,Arhynchobdellida,Hirudiniformes,,Hirudinidae,,,,,Hirudo,,Hirudo michaelseni,,,,,eater,https://www.inaturalist.org/observations/44358543,Parasitism,70327211,obs_130480768_photo_70327211
608490,8a3c487c-80f8-464e-88f7-306f848cfc75,2014-03-20 08:25:45,2014-03-20,2014-03-20 06:25:45 UTC,Harare,23072,i_c_riddell,,2014-04-05 09:26:40 UTC,2020-12-12 14:48:31 UTC,research,CC-BY,http://www.inaturalist.org/observations/608490,https://inaturalist-open-data.s3.amazonaws.com/photos/767186/medium.jpg,,,,2,0,False,,"TCT Dalmann Catapu, Mozambique",-18.086683,35.182027,,,,,,,,False,,,,Cheringoma,Sofala,Mozambique,Sofala,Cheringoma,Philematium virens,Philematium virens,,Insecta,349081,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Cerambycinae,,Callichromatini,,Philematium,,Philematium virens,,,,,eater,https://www.inaturalist.org/observations/66465198,,767186,obs_608490_photo_767186
613295,27e91f4f-b75f-46b8-b719-08b249347534,2014-03-20 08:19:36,2014-03-20,2014-03-20 06:19:36 UTC,Harare,23072,i_c_riddell,,2014-04-08 13:09:44 UTC,2020-12-12 14:37:12 UTC,research,CC-BY,http://www.inaturalist.org/observations/613295,https://inaturalist-open-data.s3.amazonaws.com/photos/773078/medium.jpg,,,,1,0,False,,"TCT Dalmann Catapu, Mozambique",-18.086715,35.18193,,,,,,,,False,,,,Cheringoma,Sofala,Mozambique,Sofala,Cheringoma,Pedinorrhina trivittata,Pedinorrhina trivittata,Yellowheart Fruit Chafer,Insecta,349342,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Cetoniinae,,Goliathini,Coryphocerina,Pedinorrhina,,Pedinorrhina trivittata,,,,,eater,https://www.inaturalist.org/observations/66465198,,773078,obs_613295_photo_773078
613368,4af8ee6a-6a67-49f5-93d7-e6194938f476,2014-03-18 15:05:06,2014-03-18,2014-03-18 13:05:06 UTC,Harare,23072,i_c_riddell,,2014-04-08 13:48:35 UTC,2021-02-20 09:28:46 UTC,research,CC-BY,http://www.inaturalist.org/observations/613368,https://inaturalist-open-data.s3.amazonaws.com/photos/773134/medium.jpg,,,,4,1,False,,"TCT Dalmann Catapu, Mozambique",-18.040483,35.202191,180.0,,,,180.0,,,False,,,,Cheringoma,Sofala,Mozambique,Sofala,Cheringoma,Green-banded Swallowtail,Papilio nireus,Narrow Green-banded Swallowtail,Insecta,203122,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,,Papilionini,,Papilio,,Papilio nireus,,,,,eater,https://www.inaturalist.org/observations/66464630,,773134,obs_613368_photo_773134
855273,479c6093-3487-4f5d-87df-540729a7645c,2014-08-28 15:22:19,2014-08-28,2014-08-28 13:22:19 UTC,Harare,23072,i_c_riddell,,2014-08-31 14:08:26 UTC,2023-01-29 03:00:15 UTC,research,CC-BY,http://www.inaturalist.org/observations/855273,https://inaturalist-open-data.s3.amazonaws.com/photos/1084105/medium.jpg,,,,3,0,False,,"Harare, Zimbabwe",-17.81164,31.080963,,,,,,,,False,,,,Harare,Harare,Zimbabwe,Harare,Harare,Sooty Blue,Zizeeria knysna,African Grass Blue,Insecta,319796,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Polyommatini,Zizeeriina,Zizeeria,,Zizeeria knysna,,,,,eater,"https://www.inaturalist.org/observations/66517113, https://www.inaturalist.org/observations/67665745",,1084105,obs_855273_photo_1084105
855282,455c3640-1a34-4fbc-aea7-1a6a67a9aa82,2014-08-28 16:11:01,2014-08-28,2014-08-28 14:11:01 UTC,Harare,23072,i_c_riddell,,2014-08-31 14:20:34 UTC,2020-12-12 13:08:02 UTC,research,CC-BY,http://www.inaturalist.org/observations/855282,https://inaturalist-open-data.s3.amazonaws.com/photos/1084115/medium.jpg,,,,1,0,False,,"Harare, Zimbabwe",-17.81164,31.080963,,,,,,,,False,,,,Harare,Harare,Zimbabwe,Harare,Harare,Stenodacma wahlbergi,Stenodacma wahlbergi,,Insecta,319629,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pterophoroidea,Pterophoridae,Pterophorinae,,Oxyptilini,,Stenodacma,,Stenodacma wahlbergi,,,,,eater,https://www.inaturalist.org/observations/66458766,,1084115,obs_855282_photo_1084115
859795,b8f958a4-cc43-49fa-9076-e7d33ca953e1,2014-09-01 14:59:54,2014-09-01,2014-09-01 12:59:54 UTC,Harare,23072,i_c_riddell,,2014-09-03 12:46:12 UTC,2021-07-08 05:22:09 UTC,research,CC-BY,http://www.inaturalist.org/observations/859795,https://inaturalist-open-data.s3.amazonaws.com/photos/1090771/medium.jpg,,,,4,0,False,,"Harare, Zimbabwe",-17.81164,31.080963,,,,,,,,False,,,,Harare,Harare,Zimbabwe,Harare,Harare,Axehead Skipper,Acada biseriata,Axehead Skipper,Insecta,367917,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Hesperiinae,,Ceratrichiini,,Acada,,Acada biseriata,,,,,eater,https://www.inaturalist.org/observations/66462095,,1090771,obs_859795_photo_1090771
